ResourceID,Period Name,Period Name Use Type,Period Name Currency Type,Alternative Name,Alternative Name Use Type,Alternative Name Currency Type,Period Description,Period Description Type,Period Type,Earliest Possible Start Date,Latest Possible End Date,Parent Period,Geospatial Coordinates
00c39f2f-908c-44cb-9601-b609dbaec750,Late 15th Century,Primary,Current,Late 15th Century CE,Alternative,Current,The latter part of the fifteenth century of the current calendar era (Anno Domini or Common Era) according to the Gregorian Calendar.,Full,Century,1467,1500,"[{""resourceId"": ""951df501-fa20-416e-869f-458ed9c79d32"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
058fe0c0-6a5b-4a57-ae6a-eb4bd56b5d84,Mid 10th Century,Primary,Current,Mid 10th Century CE,Alternative,Current,The middle part of the tenth century of the current calendar era (Anno Domini or Common Era) according to the Gregorian Calendar.,Full,Century,933,966,"[{""resourceId"": ""cbc16260-cc04-44c6-a766-100d14e71659"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
05aa2112-43ee-477f-a44a-dc5ca0e01780,Early 15th Century,Primary,Current,Early 15th Century CE,Alternative,Current,The early part of the fifteenth century of the current calendar era (Anno Domini or Common Era) according to the Gregorian Calendar.,Full,Century,1401,1432,"[{""resourceId"": ""951df501-fa20-416e-869f-458ed9c79d32"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
0631b1a1-8e57-41ef-8b5b-b7b25964d39c,Hoxnian,Primary,Current,,,,"A Mid Pleistocene stage in the British onshore Quaternary climatostratigraphic scheme. It is interpreted as a temporate (interglacial) interval, preceded by the Anglian and followed by the Wolstonian.",Full,Geological Period,-421000,-360000,"[{""resourceId"": ""33d9b0ef-03fd-4e92-95a7-b518c38a0f58"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
08c51b06-9ea7-4683-839a-376136be5709,Early 13th Century,Primary,Current,Early 13th Century CE,Alternative,Current,The early part of the thirteenth century of the current calendar era (Anno Domini or Common Era) according to the Gregorian Calendar.,Full,Century,1201,1232,"[{""resourceId"": ""e6bb2f0e-2bdf-408d-bd79-89e3c2aece1e"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
0c1b2551-574e-4070-a023-069c297d1886,3rd Century,Primary,Current,3rd Century CE,Alternative,Current,The third century of the current calendar era (Anno Domini or Common Era) according to the Gregorian Calendar.,Full,Century,201,300,,
0f1231a0-5e2c-4ef0-88fd-acc1b1833cc6,Middle Neolithic,Primary,Current,,,,"The second subdivision of the Neolithic, or New Stone Age.",Full,Technological Period,-3300,-2900,"[{""resourceId"": ""1f0dffe8-0ac9-43ee-963f-16e4fbe401a5"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
10c610a1-1403-466f-adbd-407b311b4a61,Late 14th Century,Primary,Current,Late 14th Century CE,Alternative,Current,The latter part of the fourteenth century of the current calendar era (Anno Domini or Common Era) according to the Gregorian Calendar.,Full,Century,1367,1400,"[{""resourceId"": ""58b75948-a3fc-4ce2-a008-0f36f423efd3"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
11894e6a-d36b-49d6-986b-ef49853b2cf1,Elizabethan,Primary,Current,,,,Dating to the reign of Elizabeth I of England.,Full,Political Period,1558,1603,"[{""resourceId"": ""b06f958e-34b1-4973-bb22-fda5d6903533"", ""ontologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10_falls_within"", ""resourceXresourceId"": """", ""inverseOntologyProperty"": ""http://www.cidoc-crm.org/cidoc-crm/P10i_contains""}]",
132631f4-aeef-4877-ac78-337f357eb15a,Post Medieval,Primary,Current,,,,Begins with the dissolution of the monasteries and ends with the death of Queen Victoria. Use more specific period where known.,Full,Historic Period,1540,1901,,
